Common Name,mar_31,apr_7,apr_11,apr_14,aprl_25,order
American Robin,43,56,54,36,38,passeriformes
European Starling,11,,,2,1,passeriformes
Dark-eyed Junco,9,2,9,1,0,passeriformes
Common Grackle,7,3,9,14,18,passeriformes
Blue Jay,5,15,21,15,13,passeriformes
Mourning Dove,3,7,9,5,1,columbiformes
Black-capped Chickadee,2,2,3,,1,passeriformes
House Finch,3,,,,,passeriformes
American Black Duck,2,,,,,anseriformes
Canada Goose,2,1,,2,4,anseriformes
Red-tailed Hawk,1,,,,1,accipitriformes
Red-winged Blackbird,1,2,,1,,passeriformes
Turkey,1,,,3,,galliformes
Red-bellied Woodpecker,1,1,1,2,1,piciformes
Golden-crowned Kinglet,1,3,,,,passeriformes
Tufted Titmouse,1,2,2,,2,passeriformes
Mallard,1,5,3,,8,anseriformes
Peregrine Falcon,1,,,,,falconiformes
Northern Cardinal,2,8,1,3,1,passeriformes
Red-shouldered Hawk,,1,,,,accipitriformes
Downy Woodpecker,,2,4,1,1,piciformes
White-breasted Nuthatch,,3,,,,passeriformes
House Sparrow,,2,,,,passeriformes
American Goldfinch,,1,,3,18,passeriformes
White-throated Sparrow,,1,,,10,passeriformes
American Crow,,,13,,,passeriformes
Double-crested Cormorant,,,,10,,suliformes
Eastern Phoebe,,,,2,,passeriformes
Hermit Thrush,,,,2,,passeriformes
Pine Warbler,,,,2,1,passeriformes
Herring Gull,,,,,1,charadriiformes
Great Blue Heron,,,,,2,pelecaniformes
Ruby-crowned Kinglet,,,,,1,passeriformes
Yellow Warbler,,,,,2,passeriformes
Yellow-rumped Warbler,,,,,3,passeriformes
Turkey Vulture,,,,,2,cathartiformes
Chipping Sparrow,,,,,1,passeriformes
Palm Warbler,,,,,4,passeriformes